Player,Era,Accolades,Prime_Lng,Prime_Rs,Prime_Ps,Prime_Rs_Adv,Prime_Ps_Adv,Prime_Corp,Peak_Rs,Peak_Ps,Peak_Rs_Adv,Peak_Ps_Adv,Peak_Corp,Leaderboard,Two_Way,Rs_Winning,Ps_Winning,Rsv,Psv,Dnr,Culture,Artistry
Gary Payton,4.0,10.4845,-0.133333333,27.243,24.404,111.775,100.45,8.14,27.941,27.144,119.26,120.48,9.7,49408.15,8.4816,4.207965899,11.62287345,1.8468891,1.60732662,0.5,57,60
Anthony Davis,6.0,7.82,-0.92,33.703,33.057,116.76,132.11,9.41,35.515,34.609,138.88,148.66,14.63,37850.55,10.8496,1.377209821,10.55391633,1.8271198,1.830362608,1.1,57,60
Dwight Howard,5.5,12.9235,0.113333333,26.024,25.319,79.04,90.15,8.96,28.956,27.787,101.88,116.82,13,47288.75,6.4696,3.703775605,10.81684667,0.931999635,0.642285175,0.5,65,44
Manu Ginobili,5.0,1.039,0.08,27.341,25.397,123.59,115.72,8.09,28.211,27.816,135.9,126.78,10.733,24676.2,6.7276,6.752,20.1207822,1.86916176,1.7038518,0.8,70,82
Tracy McGrady,5.0,6.4825,-16.673332,29.859,31.193,118.575,128.24,11.93,33.181,31.179,149.88,148.94,15.5,48009.2,6.9856,1.807210054,5.14108,2.36437002,2.817663125,0.2,60,77
Patrick Ewing,3.9,9.186,0.24,28.12,25.502,87.92,81.43,9,30.292,27.468,100.78,90.84,11.6,50074.2,9.6996,3.2881175,10.2165572,1.29611268,1.39877564,0.7,67,52
Reggie Miller,4.2,1.8045,1.146666667,24.715,25.686,98.41,120.89,8.71,26.346,28.199,106.26,132.56,10.53,41536.35,4.0336,2.929001421,9.668485352,0.5943942,0.47446225,1.5,65,69
Allen Iverson,5.0,11.0505,-0.84,27.738,26.464,87.815,93.165,7.0778,27.677,28.88,91.36,110.34,8,42213.25,5.0836,1.860287271,6.900052571,1.218927608,1.21634503,0.4,92,92
Paul Pierce,5.0,3.96,1.093333333,25.966,22.909,96.41,89.86,7.97,27.101,26.209,97.84,111.82,8.83,49101,5.7796,2.550909292,11.3001992,1.5216768,1.34148256,0.7,63,69
Jimmy Butler,6.0,4,-0.426666667,28.036,27.883,106.565,115.68,6.7,35.142,32.867,140.42,136.52,10.3,31833.4,9.0716,2.263014493,8.66,1.388988,1.74777,1.3,58,60
